year,month,state_code,deaths
1995,12,VIC,46
1995,12,WA,15
1996,1,ACT,1
1996,1,NSW,23
1996,1,NT,6
1996,1,QLD,20
1996,1,SA,18
1996,1,TAS,9
1996,1,VIC,39
1996,1,WA,26
1996,2,ACT,1
1996,2,NSW,49
1996,2,NT,4
1996,2,QLD,28
1996,2,SA,15
1996,2,TAS,7
1996,2,VIC,47
1996,2,WA,19
1996,3,NSW,49
1996,3,NT,3
1996,3,QLD,30
1996,3,SA,17
1996,3,TAS,9
1996,3,VIC,35
1996,3,WA,18
1996,4,ACT,1
1996,4,NSW,62
1996,4,NT,4
1996,4,QLD,16
1996,4,SA,14
1996,4,TAS,11
1996,4,VIC,38
1996,4,WA,22
1996,5,ACT,3
1996,5,NSW,48
1996,5,NT,12
1996,5,QLD,32
1996,5,SA,13
1996,5,TAS,3
1996,5,VIC,28
1996,5,WA,15
1996,6,ACT,2
1996,6,NSW,56
1996,6,NT,1
1996,6,QLD,33
1996,6,SA,19
1996,6,TAS,2
1996,6,VIC,29
1996,6,WA,18
1996,7,NSW,50
1996,7,NT,5
1996,7,QLD,28
1996,7,SA,12
1996,7,TAS,6
1996,7,VIC,30
1996,7,WA,22
1996,8,ACT,3
1996,8,NSW,52
1996,8,NT,18
1996,8,QLD,38
1996,8,SA,22
1996,8,TAS,3
1996,8,VIC,35
1996,8,WA,28
1996,9,ACT,5
1996,9,NSW,43
1996,9,NT,5
1996,9,QLD,37
1996,9,SA,19
1996,9,TAS,4
1996,9,VIC,49
1996,9,WA,16
1996,10,ACT,1
1996,10,NSW,52
1996,10,NT,2
1996,10,QLD,36
1996,10,SA,7
1996,10,TAS,3
1996,10,VIC,24
1996,10,WA,23
1996,11,ACT,4
1996,11,NSW,47
1996,11,NT,3
1996,11,QLD,48
1996,11,SA,12
1996,11,TAS,2
1996,11,VIC,33
1996,11,WA,22
1996,12,ACT,2
1996,12,NSW,50
1996,12,NT,9
1996,12,QLD,39
1996,12,SA,13
1996,12,TAS,5
1996,12,VIC,30
1996,12,WA,18
1997,1,ACT,1
1997,1,NSW,69
1997,1,NT,1
1997,1,QLD,27
1997,1,SA,13
1997,1,TAS,6
1997,1,VIC,36
1997,1,WA,18
1997,2,ACT,1
1997,2,NSW,44
1997,2,NT,3
1997,2,QLD,34
1997,2,SA,9
1997,2,TAS,1
1997,2,VIC,25
1997,2,WA,18
1997,3,ACT,1
1997,3,NSW,39
1997,3,NT,8
1997,3,QLD,31
1997,3,SA,8
1997,3,TAS,3
1997,3,VIC,30
1997,3,WA,20
1997,4,ACT,1
1997,4,NSW,42
1997,4,NT,5
1997,4,QLD,26
1997,4,SA,11
1997,4,TAS,4
1997,4,VIC,30
1997,4,WA,15
1997,5,ACT,1
1997,5,NSW,58
1997,5,NT,6
1997,5,QLD,34
1997,5,SA,12
1997,5,TAS,4
1997,5,VIC,40
1997,5,WA,9
1997,6,NSW,38
1997,6,NT,5
1997,6,QLD,19
1997,6,SA,13
1997,6,TAS,2
1997,6,VIC,22
1997,6,WA,15
1997,7,NSW,53
1997,7,NT,2
1997,7,QLD,32
1997,7,SA,7
1997,7,TAS,1
1997,7,VIC,39
1997,7,WA,21
1997,8,ACT,2
1997,8,NSW,47
1997,8,NT,9
1997,8,QLD,40
1997,8,SA,16
1997,8,TAS,3
1997,8,VIC,26
1997,8,WA,15
1997,9,ACT,2
1997,9,NSW,35
1997,9,NT,3
1997,9,QLD,34
1997,9,SA,12
