year,state_code,speed_band,crashes,deaths
1999,SA,60,44,45
1999,SA,70–80,14,17
1999,SA,90,4,5
1999,SA,≤50,1,1
1999,TAS,100,27,30
1999,TAS,110+,5,8
1999,TAS,60,9,9
1999,TAS,70–80,6,6
1999,VIC,100,144,171
1999,VIC,110+,8,9
1999,VIC,60,117,123
1999,VIC,70–80,70,73
1999,VIC,90,5,6
1999,VIC,≤50,1,1
1999,WA,100,5,6
1999,WA,110+,83,103
1999,WA,60,53,54
1999,WA,70–80,31,37
1999,WA,90,16,17
1999,WA,≤50,1,1
2000,ACT,≤50,16,18
2000,NSW,100,188,215
2000,NSW,110+,31,35
2000,NSW,60,148,164
2000,NSW,70–80,114,124
2000,NSW,90,20,21
2000,NSW,≤50,42,44
2000,NT,100,3,3
2000,NT,60,11,11
2000,NT,70–80,8,8
2000,NT,≤50,26,29
2000,QLD,100,126,157
2000,QLD,110+,5,7
2000,QLD,60,77,79
2000,QLD,70–80,51,57
2000,QLD,90,1,1
2000,QLD,≤50,15,16
2000,SA,100,34,38
2000,SA,110+,46,52
2000,SA,60,53,55
2000,SA,70–80,14,17
2000,SA,≤50,4,4
2000,TAS,100,18,22
2000,TAS,110+,4,4
2000,TAS,60,10,11
2000,TAS,70–80,6,6
2000,VIC,100,148,166
2000,VIC,110+,12,13
2000,VIC,60,116,122
2000,VIC,70–80,74,83
2000,VIC,90,9,9
2000,VIC,≤50,14,14
2000,WA,100,3,3
2000,WA,110+,77,89
2000,WA,60,52,57
2000,WA,70–80,30,41
2000,WA,90,20,20
2000,WA,≤50,2,2
2001,ACT,≤50,15,16
2001,NSW,100,163,186
2001,NSW,110+,34,37
2001,NSW,60,144,149
2001,NSW,70–80,102,109
2001,NSW,90,8,8
2001,NSW,≤50,35,35
2001,NT,100,4,4
2001,NT,110+,1,1
2001,NT,60,2,2
2001,NT,70–80,6,6
2001,NT,90,1,1
2001,NT,≤50,29,36
2001,QLD,100,124,147
2001,QLD,110+,17,19
2001,QLD,60,88,90
2001,QLD,70–80,50,51
2001,QLD,90,1,1
2001,QLD,≤50,16,16
2001,SA,100,26,32
2001,SA,110+,37,44
2001,SA,60,66,68
2001,SA,70–80,5,5
2001,SA,90,2,3
2001,SA,≤50,1,1
2001,TAS,100,27,32
2001,TAS,110+,4,4
2001,TAS,60,11,12
2001,TAS,70–80,7,7
2001,TAS,≤50,3,6
2001,VIC,100,154,173
2001,VIC,110+,11,13
2001,VIC,60,97,107
2001,VIC,70–80,83,86
2001,VIC,90,7,9
2001,VIC,≤50,52,56
2001,WA,100,5,7
2001,WA,110+,71,77
2001,WA,60,43,46
2001,WA,70–80,19,22
2001,WA,90,10,10
2001,WA,≤50,3,3
2002,ACT,≤50,8,10
2002,NSW,100,171,198
2002,NSW,110+,36,44
2002,NSW,60,109,115
2002,NSW,70–80,107,117
2002,NSW,90,13,16
2002,NSW,≤50,65,71
2002,NT,100,1,2
2002,NT,60,3,3
2002,NT,70–80,1,1
2002,NT,≤50,35,49
2002,QLD,100,132,156
2002,QLD,110+,8,8
2002,QLD,60,74,83
2002,QLD,70–80,57,63
2002,QLD,90,3,3
2002,QLD,≤50,9,9
2002,SA,100,28,31
2002,SA,110+,45,51
2002,SA,60,44,49
2002,SA,70–80,18,20
2002,SA,90,1,1
2002,SA,≤50,2,2
2002,TAS,100,16,18
2002,TAS,110+,3,3
