year,state_code,crash_type,crashes,deaths
2015,QLD,Single,138,149
2015,SA,Multiple,38,44
2015,SA,Single,58,58
2015,TAS,Multiple,16,17
2015,TAS,Single,16,17
2015,VIC,Multiple,112,121
2015,VIC,Single,119,131
2015,WA,Multiple,54,62
2015,WA,Single,88,99
2016,ACT,Multiple,5,5
2016,ACT,Single,5,5
2016,NSW,Multiple,163,174
2016,NSW,Single,193,206
2016,NT,Multiple,7,10
2016,NT,Single,33,35
2016,QLD,Multiple,98,107
2016,QLD,Single,140,144
2016,SA,Multiple,35,40
2016,SA,Single,41,46
2016,TAS,Multiple,20,23
2016,TAS,Single,13,14
2016,VIC,Multiple,134,145
2016,VIC,Single,141,145
2016,WA,Multiple,58,70
2016,WA,Single,114,125
2017,ACT,Multiple,3,3
2017,ACT,Single,2,2
2017,NSW,Multiple,156,182
2017,NSW,Single,195,207
2017,NT,Multiple,5,7
2017,NT,Single,22,24
2017,QLD,Multiple,103,112
2017,QLD,Single,125,135
2017,SA,Multiple,38,43
2017,SA,Single,55,57
2017,TAS,Multiple,18,19
2017,TAS,Single,13,13
2017,VIC,Multiple,122,134
2017,VIC,Single,118,125
2017,WA,Multiple,59,64
2017,WA,Single,93,96
2018,ACT,Multiple,4,4
2018,ACT,Single,5,5
2018,NSW,Multiple,127,143
2018,NSW,Single,199,204
2018,NT,Multiple,5,6
2018,NT,Single,37,44
2018,QLD,Multiple,93,108
2018,QLD,Single,131,137
2018,SA,Multiple,32,36
2018,SA,Single,43,44
2018,TAS,Multiple,20,21
2018,TAS,Single,11,11
2018,VIC,Multiple,94,104
2018,VIC,Single,108,109
2018,WA,Multiple,47,55
2018,WA,Single,99,104
2019,ACT,Multiple,2,2
2019,ACT,Single,4,4
2019,NSW,Multiple,134,148
2019,NSW,Single,195,205
2019,NT,Multiple,4,7
2019,NT,Single,24,29
2019,QLD,Multiple,85,98
2019,QLD,Single,111,121
2019,SA,Multiple,44,48
2019,SA,Single,66,66
2019,TAS,Multiple,14,14
2019,TAS,Single,15,15
2019,VIC,Multiple,104,118
2019,VIC,Single,144,148
2019,WA,Multiple,46,50
2019,WA,Single,106,113
2020,ACT,Multiple,3,4
2020,ACT,Single,3,3
2020,NSW,Multiple,118,130
2020,NSW,Single,146,154
2020,NT,Multiple,6,7
2020,NT,Single,22,24
2020,QLD,Multiple,108,125
2020,QLD,Single,143,153
2020,SA,Multiple,32,39
2020,SA,Single,53,54
2020,TAS,Multiple,19,25
2020,TAS,Single,13,13
2020,VIC,Multiple,85,97
2020,VIC,Single,110,114
2020,WA,Multiple,56,67
2020,WA,Single,81,88
2021,ACT,Multiple,4,4
2021,ACT,Single,7,7
2021,NSW,Multiple,111,119
2021,NSW,Single,149,156
2021,NT,Multiple,10,10
2021,NT,Single,22,25
2021,QLD,Multiple,116,139
2021,QLD,Single,132,138
2021,SA,Multiple,27,28
2021,SA,Single,67,71
2021,TAS,Multiple,14,17
2021,TAS,Single,19,19
2021,VIC,Multiple,93,105
2021,VIC,Single,120,126
2021,WA,Multiple,64,67
2021,WA,Single,94,99
2022,ACT,Multiple,4,6
2022,ACT,Single,11,12
2022,NSW,Multiple,116,127
2022,NSW,Single,147,154
2022,NT,Multiple,8,9
2022,NT,Single,32,38
2022,QLD,Multiple,119,136
2022,QLD,Single,156,161
2022,SA,Multiple,22,22
2022,SA,Single,46,49
2022,TAS,Multiple,15,20
2022,TAS,Single,30,31
2022,VIC,Multiple,117,118
2022,VIC,Single,121,122
2022,WA,Multiple,34,38
2022,WA,Single,127,137
2023,ACT,Multiple,1,1
2023,ACT,Single,2,2
2023,NSW,Multiple,113,120
2023,NSW,Single,156,178
2023,NT,Multiple,5,11
2023,NT,Single,10,10
2023,QLD,Multiple,105,113
2023,QLD,Single,112,115
2023,SA,Multiple,38,42
2023,SA,Single,53,54
2023,TAS,Multiple,11,11
2023,TAS,Single,17,17
2023,VIC,Multiple,111,128
2023,VIC,Single,103,110
2023,WA,Multiple,8,8
2023,WA,Single,108,117
